date,showName,theaterName,type,capacity,gross
2009-02-15,Mamma Mia!,Winter Garden,Musical,89,883212
2009-02-22,Mamma Mia!,Winter Garden,Musical,98,895160
2009-03-01,Mamma Mia!,Winter Garden,Musical,89,754745
2009-03-08,Mamma Mia!,Winter Garden,Musical,86,716774
2009-03-15,Mamma Mia!,Winter Garden,Musical,95,814152
2009-03-15,Reasons To Be Pretty,Lyceum,Play,38,38297
2009-03-22,Mamma Mia!,Winter Garden,Musical,98,882929
2009-03-22,Reasons To Be Pretty,Lyceum,Play,43,106449
2009-03-29,Mamma Mia!,Winter Garden,Musical,99,869665
2009-03-29,Reasons To Be Pretty,Lyceum,Play,42,121629
2009-04-05,Mamma Mia!,Winter Garden,Musical,95,848021
2009-04-05,Reasons To Be Pretty,Lyceum,Play,42,120597
2009-04-12,Mamma Mia!,Winter Garden,Musical,102,1021653
2009-04-12,Reasons To Be Pretty,Lyceum,Play,55,157040
2009-04-19,Mamma Mia!,Winter Garden,Musical,101,1005981
2009-04-19,Reasons To Be Pretty,Lyceum,Play,48,146762
2009-04-26,Mamma Mia!,Winter Garden,Musical,99,875597
2009-04-26,Reasons To Be Pretty,Lyceum,Play,30,104247
2009-05-03,Mamma Mia!,Winter Garden,Musical,99,901230
2009-05-03,Reasons To Be Pretty,Lyceum,Play,31,107404
2009-05-10,Mamma Mia!,Winter Garden,Musical,93,830636
2009-05-10,Reasons To Be Pretty,Lyceum,Play,36,128164
2009-05-17,Mamma Mia!,Winter Garden,Musical,97,869495
2009-05-17,Reasons To Be Pretty,Lyceum,Play,38,138752
2009-05-24,Mamma Mia!,Winter Garden,Musical,98,894070
2009-05-24,Reasons To Be Pretty,Lyceum,Play,50,176152
2009-05-31,Mamma Mia!,Winter Garden,Musical,90,848808
2009-05-31,Reasons To Be Pretty,Lyceum,Play,50,168207
2009-06-07,Mamma Mia!,Winter Garden,Musical,88,845592
2009-06-07,Reasons To Be Pretty,Lyceum,Play,47,160865
2009-06-14,Mamma Mia!,Winter Garden,Musical,96,962048
2009-06-14,Reasons To Be Pretty,Lyceum,Play,74,261639
2009-06-21,Mamma Mia!,Winter Garden,Musical,96,964786
2009-06-28,Mamma Mia!,Winter Garden,Musical,97,988427
2009-07-05,Mamma Mia!,Winter Garden,Musical,100,953712
2009-07-12,Mamma Mia!,Winter Garden,Musical,95,994321
2009-07-19,Mamma Mia!,Winter Garden,Musical,95,1017703
2009-07-26,Mamma Mia!,Winter Garden,Musical,97,1076030
2009-08-02,Mamma Mia!,Winter Garden,Musical,99,1079916
2009-08-09,Mamma Mia!,Winter Garden,Musical,99,1100641
2009-08-16,Mamma Mia!,Winter Garden,Musical,97,1085725
2009-08-23,Mamma Mia!,Winter Garden,Musical,94,1019887
2009-08-30,Mamma Mia!,Winter Garden,Musical,93,992079
2009-09-06,Mamma Mia!,Winter Garden,Musical,93,967078
2009-09-13,Mamma Mia!,Winter Garden,Musical,91,920797
2009-09-20,Mamma Mia!,Winter Garden,Musical,94,958245
2009-09-27,Mamma Mia!,Winter Garden,Musical,95,950422
2009-10-04,Mamma Mia!,Winter Garden,Musical,90,914114
2009-10-11,Mamma Mia!,Winter Garden,Musical,94,1057283
2009-10-18,Mamma Mia!,Winter Garden,Musical,98,1049340
2009-10-25,In The Next Room Or The Vibrator Play,Lyceum,Play,46,56201
2009-10-25,Mamma Mia!,Winter Garden,Musical,95,980401
2009-11-01,In The Next Room Or The Vibrator Play,Lyceum,Play,45,120650
2009-11-01,Mamma Mia!,Winter Garden,Musical,90,922676
2009-11-08,In The Next Room Or The Vibrator Play,Lyceum,Play,48,142206
2009-11-08,Mamma Mia!,Winter Garden,Musical,89,965548
2009-11-15,In The Next Room Or The Vibrator Play,Lyceum,Play,71,162622
2009-11-15,Mamma Mia!,Winter Garden,Musical,81,811600
2009-11-22,In The Next Room Or The Vibrator Play,Lyceum,Play,62,143731
2009-11-22,Mamma Mia!,Winter Garden,Musical,75,743680
2009-11-29,In The Next Room Or The Vibrator Play,Lyceum,Play,48,150727
2009-11-29,Mamma Mia!,Winter Garden,Musical,82,972818
2009-12-06,In The Next Room Or The Vibrator Play,Lyceum,Play,57,226704
2009-12-06,Mamma Mia!,Winter Garden,Musical,84,950139
2009-12-13,In The Next Room Or The Vibrator Play,Lyceum,Play,59,235481
2009-12-13,Mamma Mia!,Winter Garden,Musical,84,902406
2009-12-20,In The Next Room Or The Vibrator Play,Lyceum,Play,48,175078
2009-12-20,Mamma Mia!,Winter Garden,Musical,76,765079
2009-12-27,In The Next Room Or The Vibrator Play,Lyceum,Play,51,167550
2009-12-27,Mamma Mia!,Winter Garden,Musical,96,1137628
2010-01-03,In The Next Room Or The Vibrator Play,Lyceum,Play,67,253434
2010-01-03,Mamma Mia!,Winter Garden,Musical,94,1315354
2010-01-10,In The Next Room Or The Vibrator Play,Lyceum,Play,79,295615
2010-01-10,Mamma Mia!,Winter Garden,Musical,84,814674
2010-01-17,Mamma Mia!,Winter Garden,Musical,78,746046
2010-01-24,Mamma Mia!,Winter Garden,Musical,65,591889
2010-01-31,Mamma Mia!,Winter Garden,Musical,67,573759
2010-02-07,Mamma Mia!,Winter Garden,Musical,66,553179
2010-02-14,Mamma Mia!,Winter Garden,Musical,80,771095
2010-02-21,Looped,Lyceum,Play,60,94462
2010-02-21,Mamma Mia!,Winter Garden,Musical,91,855846
2010-02-28,Looped,Lyceum,Play,48,139174
2010-02-28,Mamma Mia!,Winter Garden,Musical,72,600043
2010-03-07,Looped,Lyceum,Play,65,167023
2010-03-07,Mamma Mia!,Winter Garden,Musical,79,661456
2010-03-14,Looped,Lyceum,Play,64,151549
2010-03-14,Mamma Mia!,Winter Garden,Musical,87,718613
2010-03-21,Looped,Lyceum,Play,54,180830
2010-03-21,Mamma Mia!,Winter Garden,Musical,93,830279
2010-03-28,Looped,Lyceum,Play,55,176622
2010-03-28,Mamma Mia!,Winter Garden,Musical,96,865702
2010-04-04,Looped,Lyceum,Play,51,168351
2010-04-04,Mamma Mia!,Winter Garden,Musical,99,1066795
2010-04-11,Looped,Lyceum,Play,59,184514
2010-04-11,Mamma Mia!,Winter Garden,Musical,96,973906
2010-04-18,Mamma Mia!,Winter Garden,Musical,92,853873
2010-04-25,Mamma Mia!,Winter Garden,Musical,89,827589
2010-05-02,Mamma Mia!,Winter Garden,Musical,84,775311
2010-05-09,Mamma Mia!,Winter Garden,Musical,83,780950
2010-05-16,Mamma Mia!,Winter Garden,Musical,86,836492
2010-05-23,Mamma Mia!,Winter Garden,Musical,92,913498
2010-05-30,Mamma Mia!,Winter Garden,Musical,85,829089
2010-06-06,Mamma Mia!,Winter Garden,Musical,79,755992
2010-06-13,Mamma Mia!,Winter Garden,Musical,84,798510
2010-06-20,Mamma Mia!,Winter Garden,Musical,80,772589
2010-06-27,Mamma Mia!,Winter Garden,Musical,84,844768
2010-07-04,Mamma Mia!,Winter Garden,Musical,83,813658
2010-07-11,Mamma Mia!,Winter Garden,Musical,86,851495
2010-07-18,Mamma Mia!,Winter Garden,Musical,89,915829
2010-07-25,Mamma Mia!,Winter Garden,Musical,93,967944
2010-08-01,Mamma Mia!,Winter Garden,Musical,93,963375
2010-08-08,Mamma Mia!,Winter Garden,Musical,92,978701
2010-08-15,Mamma Mia!,Winter Garden,Musical,87,923650
2010-08-22,Mamma Mia!,Winter Garden,Musical,85,886815
2010-08-29,Mamma Mia!,Winter Garden,Musical,79,830277
2010-09-05,Mamma Mia!,Winter Garden,Musical,78,818526
2010-09-12,Mamma Mia!,Winter Garden,Musical,86,775403
2010-09-19,Mamma Mia!,Winter Garden,Musical,86,798971
2010-09-26,Mamma Mia!,Winter Garden,Musical,88,821598
2010-10-03,Mamma Mia!,Winter Garden,Musical,91,840632
2010-10-10,Mamma Mia!,Winter Garden,Musical,92,949532
2010-10-10,The Scottsboro Boys,Lyceum,Musical,65,174965
2010-10-17,Mamma Mia!,Winter Garden,Musical,98,988857
2010-10-17,The Scottsboro Boys,Lyceum,Musical,69,232538
2010-10-24,Mamma Mia!,Winter Garden,Musical,88,889970
2010-10-24,The Scottsboro Boys,Lyceum,Musical,72,266889
2010-10-31,Mamma Mia!,Winter Garden,Musical,76,784309
2010-10-31,The Scottsboro Boys,Lyceum,Musical,81,220818
2010-11-07,Mamma Mia!,Winter Garden,Musical,79,794941
2010-11-07,The Scottsboro Boys,Lyceum,Musical,73,256575
2010-11-14,Mamma Mia!,Winter Garden,Musical,82,836660
2010-11-14,The Scottsboro Boys,Lyceum,Musical,77,305606
2010-11-21,Mamma Mia!,Winter Garden,Musical,70,706711
2010-11-21,The Scottsboro Boys,Lyceum,Musical,68,283054
2010-11-28,Mamma Mia!,Winter Garden,Musical,77,838078
2010-11-28,The Scottsboro Boys,Lyceum,Musical,60,273250
2010-12-05,Mamma Mia!,Winter Garden,Musical,74,777759
2010-12-05,The Scottsboro Boys,Lyceum,Musical,78,282465
2010-12-12,Mamma Mia!,Winter Garden,Musical,79,817276
2010-12-12,The Scottsboro Boys,Lyceum,Musical,97,454251
2010-12-19,Mamma Mia!,Winter Garden,Musical,68,713888
2010-12-26,Mamma Mia!,Winter Garden,Musical,88,866804
2011-01-02,Mamma Mia!,Winter Garden,Musical,93,1353837
2011-01-09,Mamma Mia!,Winter Garden,Musical,79,802972
2011-01-16,Mamma Mia!,Winter Garden,Musical,74,695507
2011-01-23,Mamma Mia!,Winter Garden,Musical,57,527026
2011-01-30,Mamma Mia!,Winter Garden,Musical,61,508770
2011-02-06,Mamma Mia!,Winter Garden,Musical,64,541521
2011-02-13,Mamma Mia!,Winter Garden,Musical,64,580278
2011-02-20,Mamma Mia!,Winter Garden,Musical,81,764201
2011-02-27,Ghetto Klown,Lyceum,Play,88,384100
2011-02-27,Mamma Mia!,Winter Garden,Musical,86,800980
2011-03-06,Ghetto Klown,Lyceum,Play,88,328933
2011-03-06,Mamma Mia!,Winter Garden,Musical,66,580815
2011-03-13,Ghetto Klown,Lyceum,Play,82,322961
2011-03-13,Mamma Mia!,Winter Garden,Musical,77,703222
2011-03-20,Ghetto Klown,Lyceum,Play,79,312078
2011-03-20,Mamma Mia!,Winter Garden,Musical,86,845480
2011-03-27,Ghetto Klown,Lyceum,Play,87,322533
2011-03-27,Mamma Mia!,Winter Garden,Musical,76,709895
2011-04-03,Ghetto Klown,Lyceum,Play,77,348447
2011-04-03,Mamma Mia!,Winter Garden,Musical,75,710008
2011-04-10,Ghetto Klown,Lyceum,Play,73,336676
2011-04-10,Mamma Mia!,Winter Garden,Musical,80,745627
2011-04-17,Ghetto Klown,Lyceum,Play,71,327469
2011-04-17,Mamma Mia!,Winter Garden,Musical,85,818975
2011-04-24,Ghetto Klown,Lyceum,Play,82,362376
2011-04-24,Mamma Mia!,Winter Garden,Musical,102,1167769
2011-05-01,Ghetto Klown,Lyceum,Play,76,317798
2011-05-01,Mamma Mia!,Winter Garden,Musical,91,943467
2011-05-08,Ghetto Klown,Lyceum,Play,72,308002
2011-05-08,Mamma Mia!,Winter Garden,Musical,85,865824
2011-05-15,Ghetto Klown,Lyceum,Play,69,311450
2011-05-15,Mamma Mia!,Winter Garden,Musical,79,775420
2011-05-22,Ghetto Klown,Lyceum,Play,72,291473
2011-05-22,Mamma Mia!,Winter Garden,Musical,86,859579
2011-05-29,Ghetto Klown,Lyceum,Play,69,253846
2011-05-29,Mamma Mia!,Winter Garden,Musical,83,813461
2011-06-05,Ghetto Klown,Lyceum,Play,66,274380
2011-06-05,Mamma Mia!,Winter Garden,Musical,80,786844
2011-06-12,Ghetto Klown,Lyceum,Play,65,182653
2011-06-12,Mamma Mia!,Winter Garden,Musical,81,785948
2011-06-19,Ghetto Klown,Lyceum,Play,70,261623
2011-06-19,Mamma Mia!,Winter Garden,Musical,79,774101
2011-06-26,Ghetto Klown,Lyceum,Play,71,252835
2011-06-26,Mamma Mia!,Winter Garden,Musical,89,892334
2011-07-03,Ghetto Klown,Lyceum,Play,82,289574
2011-07-03,Mamma Mia!,Winter Garden,Musical,79,792888
2011-07-10,Ghetto Klown,Lyceum,Play,92,390333
2011-07-10,Mamma Mia!,Winter Garden,Musical,80,787741
2011-07-17,Mamma Mia!,Winter Garden,Musical,81,807798
2011-07-24,Mamma Mia!,Winter Garden,Musical,88,897983
2011-07-31,Mamma Mia!,Winter Garden,Musical,89,917532
2011-08-07,Mamma Mia!,Winter Garden,Musical,84,860053
2011-08-14,Mamma Mia!,Winter Garden,Musical,86,878148
2011-08-21,Mamma Mia!,Winter Garden,Musical,81,801197
2011-08-28,Mamma Mia!,Winter Garden,Musical,79,588493
2011-09-04,Mamma Mia!,Winter Garden,Musical,71,709417
2011-09-11,Mamma Mia!,Winter Garden,Musical,65,585783
2011-09-18,Mamma Mia!,Winter Garden,Musical,72,676262
2011-09-25,Mamma Mia!,Winter Garden,Musical,88,825127
2011-10-02,Mamma Mia!,Winter Garden,Musical,85,819826
2011-10-09,Mamma Mia!,Winter Garden,Musical,81,831999
2011-10-16,Mamma Mia!,Winter Garden,Musical,83,847844
2011-10-23,Mamma Mia!,Winter Garden,Musical,83,835972
2011-10-30,Mamma Mia!,Winter Garden,Musical,83,848721
2011-11-06,Mamma Mia!,Winter Garden,Musical,66,666325
2011-11-13,Mamma Mia!,Winter Garden,Musical,74,745600
2011-11-20,Mamma Mia!,Winter Garden,Musical,61,604742
2011-11-27,Mamma Mia!,Winter Garden,Musical,76,817860
2011-12-04,Mamma Mia!,Winter Garden,Musical,66,670115
2011-12-11,Mamma Mia!,Winter Garden,Musical,70,717738
2011-12-18,Mamma Mia!,Winter Garden,Musical,56,560395
2011-12-25,Mamma Mia!,Winter Garden,Musical,67,704380
2012-01-01,Mamma Mia!,Winter Garden,Musical,96,1240753
2012-01-08,Mamma Mia!,Winter Garden,Musical,74,759484
2012-01-15,Mamma Mia!,Winter Garden,Musical,78,686636
2012-01-22,Mamma Mia!,Winter Garden,Musical,68,574950
2012-01-29,Mamma Mia!,Winter Garden,Musical,67,566619
2012-02-05,Mamma Mia!,Winter Garden,Musical,67,551069
2012-02-12,Mamma Mia!,Winter Garden,Musical,63,542159
2012-02-12,Venus In Fur,Lyceum,Play,79,346117
2012-02-19,Mamma Mia!,Winter Garden,Musical,82,788253
2012-02-19,Venus In Fur,Lyceum,Play,89,402294
2012-02-26,Mamma Mia!,Winter Garden,Musical,85,825341
2012-02-26,Venus In Fur,Lyceum,Play,82,369176
2012-03-04,Mamma Mia!,Winter Garden,Musical,73,643246
2012-03-04,Venus In Fur,Lyceum,Play,66,306609
2012-03-11,Mamma Mia!,Winter Garden,Musical,65,586403
2012-03-11,Venus In Fur,Lyceum,Play,70,344313
2012-03-18,Mamma Mia!,Winter Garden,Musical,73,685129
2012-03-18,Venus In Fur,Lyceum,Play,64,263685
2012-03-25,Mamma Mia!,Winter Garden,Musical,70,659751
2012-03-25,Venus In Fur,Lyceum,Play,70,325402
2012-04-01,Mamma Mia!,Winter Garden,Musical,78,744229
2012-04-01,Venus In Fur,Lyceum,Play,67,316010
2012-04-08,Mamma Mia!,Winter Garden,Musical,90,947575
2012-04-08,Venus In Fur,Lyceum,Play,50,225267
2012-04-15,Mamma Mia!,Winter Garden,Musical,96,1005002
2012-04-15,Venus In Fur,Lyceum,Play,49,280779
2012-04-22,Mamma Mia!,Winter Garden,Musical,75,734105
2012-04-22,Venus In Fur,Lyceum,Play,48,271054
2012-04-29,Mamma Mia!,Winter Garden,Musical,81,804623
2012-04-29,Venus In Fur,Lyceum,Play,58,303913
2012-05-06,Mamma Mia!,Winter Garden,Musical,77,802435
2012-05-06,Venus In Fur,Lyceum,Play,54,282862
2012-05-13,Mamma Mia!,Winter Garden,Musical,70,662496
2012-05-13,Venus In Fur,Lyceum,Play,53,293894
2012-05-20,Mamma Mia!,Winter Garden,Musical,82,808686
2012-05-20,Venus In Fur,Lyceum,Play,58,316005
2012-05-27,Mamma Mia!,Winter Garden,Musical,76,737690
2012-05-27,Venus In Fur,Lyceum,Play,63,324106
2012-06-03,Mamma Mia!,Winter Garden,Musical,70,670373
2012-06-03,Venus In Fur,Lyceum,Play,53,305997
2012-06-10,Mamma Mia!,Winter Garden,Musical,75,720055
2012-06-10,Venus In Fur,Lyceum,Play,71,422215
2012-06-17,Mamma Mia!,Winter Garden,Musical,73,687045
2012-06-17,Venus In Fur,Lyceum,Play,83,635622
2012-06-24,Mamma Mia!,Winter Garden,Musical,71,682931
2012-07-01,Mamma Mia!,Winter Garden,Musical,79,750421
2012-07-08,Mamma Mia!,Winter Garden,Musical,84,847933
2012-07-15,Mamma Mia!,Winter Garden,Musical,87,863782
2012-07-22,Mamma Mia!,Winter Garden,Musical,86,874943
2012-07-29,Mamma Mia!,Winter Garden,Musical,88,898564
2012-08-05,Mamma Mia!,Winter Garden,Musical,84,862888
2012-08-12,Mamma Mia!,Winter Garden,Musical,83,872590
2012-08-19,Mamma Mia!,Winter Garden,Musical,81,846506
2012-08-26,Mamma Mia!,Winter Garden,Musical,76,784701
2012-09-02,Mamma Mia!,Winter Garden,Musical,72,743291
2012-09-09,Mamma Mia!,Winter Garden,Musical,78,741090
2012-09-16,Mamma Mia!,Winter Garden,Musical,87,820085
2012-09-23,Mamma Mia!,Winter Garden,Musical,75,729744
2012-09-30,Mamma Mia!,Winter Garden,Musical,82,813955
2012-10-07,Mamma Mia!,Winter Garden,Musical,93,961683
2012-10-14,Mamma Mia!,Winter Garden,Musical,83,869580
2012-10-21,Mamma Mia!,Winter Garden,Musical,81,854181
2012-10-28,Mamma Mia!,Winter Garden,Musical,73,667027
2012-11-04,Mamma Mia!,Winter Garden,Musical,69,541421
2012-11-11,Mamma Mia!,Winter Garden,Musical,63,612816
2012-11-18,Mamma Mia!,Winter Garden,Musical,62,584024
2012-11-25,Mamma Mia!,Winter Garden,Musical,82,862275
2012-12-02,Mamma Mia!,Winter Garden,Musical,61,623646
2012-12-09,Mamma Mia!,Winter Garden,Musical,66,668042
2012-12-16,Mamma Mia!,Winter Garden,Musical,58,594417
2012-12-23,Mamma Mia!,Winter Garden,Musical,73,761891
2012-12-30,Mamma Mia!,Winter Garden,Musical,93,1439211
2013-01-06,Mamma Mia!,Winter Garden,Musical,88,869907
2013-01-13,Mamma Mia!,Winter Garden,Musical,69,601136
2013-01-20,Mamma Mia!,Winter Garden,Musical,72,633996
2013-01-27,Mamma Mia!,Winter Garden,Musical,70,592095
2013-02-03,Mamma Mia!,Winter Garden,Musical,68,575932
2013-02-10,Mamma Mia!,Winter Garden,Musical,57,478909
2013-02-17,Mamma Mia!,Winter Garden,Musical,89,845181
2013-02-24,Mamma Mia!,Winter Garden,Musical,73,680908
2013-03-03,Mamma Mia!,Winter Garden,Musical,73,657925
2013-03-10,Mamma Mia!,Winter Garden,Musical,74,696102
2013-03-17,Mamma Mia!,Winter Garden,Musical,79,749447
2013-03-24,Mamma Mia!,Winter Garden,Musical,86,842657
2013-03-24,The Nance,Lyceum,Play,76,199627
2013-03-31,Mamma Mia!,Winter Garden,Musical,102,1150663
2013-03-31,The Nance,Lyceum,Play,79,392189
2013-04-07,Mamma Mia!,Winter Garden,Musical,94,1027152
2013-04-07,The Nance,Lyceum,Play,80,367937
2013-04-14,Mamma Mia!,Winter Garden,Musical,75,750520
2013-04-14,The Nance,Lyceum,Play,88,323250
2013-04-21,Mamma Mia!,Winter Garden,Musical,83,833047
2013-04-21,The Nance,Lyceum,Play,80,362059
2013-04-28,Mamma Mia!,Winter Garden,Musical,87,877550
2013-04-28,The Nance,Lyceum,Play,76,445409
2013-05-05,Mamma Mia!,Winter Garden,Musical,90,954814
2013-05-05,The Nance,Lyceum,Play,73,443964
2013-05-12,Mamma Mia!,Winter Garden,Musical,83,880486
2013-05-12,The Nance,Lyceum,Play,75,470195
2013-05-19,Mamma Mia!,Winter Garden,Musical,79,822902
2013-05-19,The Nance,Lyceum,Play,81,499762
2013-05-26,Mamma Mia!,Winter Garden,Musical,87,941265
2013-05-26,The Nance,Lyceum,Play,85,516625
2013-06-02,Mamma Mia!,Winter Garden,Musical,78,812857
2013-06-02,The Nance,Lyceum,Play,76,439070
2013-06-09,Mamma Mia!,Winter Garden,Musical,70,718464
2013-06-09,The Nance,Lyceum,Play,80,501724
2013-06-16,Mamma Mia!,Winter Garden,Musical,78,816487
2013-06-16,The Nance,Lyceum,Play,82,520067
2013-06-23,Mamma Mia!,Winter Garden,Musical,83,887248
2013-06-23,The Nance,Lyceum,Play,66,437989
2013-06-30,Mamma Mia!,Winter Garden,Musical,88,932345
2013-06-30,The Nance,Lyceum,Play,61,390725
2013-07-07,Mamma Mia!,Winter Garden,Musical,88,954657
2013-07-07,The Nance,Lyceum,Play,71,360241
2013-07-14,Mamma Mia!,Winter Garden,Musical,90,930816
2013-07-14,The Nance,Lyceum,Play,57,350925
2013-07-21,Mamma Mia!,Winter Garden,Musical,88,951216
2013-07-21,The Nance,Lyceum,Play,69,380778
2013-07-28,Mamma Mia!,Winter Garden,Musical,91,965481
2013-07-28,The Nance,Lyceum,Play,68,363658
2013-08-04,Mamma Mia!,Winter Garden,Musical,90,937040
2013-08-04,The Nance,Lyceum,Play,67,352327
2013-08-11,Mamma Mia!,Winter Garden,Musical,93,1002632
2013-08-11,The Nance,Lyceum,Play,81,444605
2013-08-18,Mamma Mia!,Winter Garden,Musical,88,953280
2013-08-25,Mamma Mia!,Winter Garden,Musical,79,831600
2013-09-01,Mamma Mia!,Winter Garden,Musical,75,773583
2013-09-08,Mamma Mia!,Winter Garden,Musical,74,726845
2013-09-15,Mamma Mia!,Winter Garden,Musical,74,716290
2013-09-22,A Night With Janis Joplin,Lyceum,Musical,91,144461
2013-09-22,Mamma Mia!,Winter Garden,Musical,76,775756
2013-09-29,A Night With Janis Joplin,Lyceum,Musical,81,271564
2013-09-29,Mamma Mia!,Winter Garden,Musical,72,725606
2013-10-06,A Night With Janis Joplin,Lyceum,Musical,84,281871
2013-10-06,Mamma Mia!,Winter Garden,Musical,75,768298
2013-10-13,A Night With Janis Joplin,Lyceum,Musical,93,353070
2013-10-13,Mamma Mia!,Winter Garden,Musical,84,900507
2013-10-20,A Night With Janis Joplin,Lyceum,Musical,92,397767
2013-10-20,Mamma Mia!,Winter Garden,Musical,84,894941
2013-10-27,A Night With Janis Joplin,Lyceum,Musical,84,433141
2013-11-03,A Night With Janis Joplin,Lyceum,Musical,77,388662
2013-11-10,A Night With Janis Joplin,Lyceum,Musical,84,438961
2013-11-17,A Night With Janis Joplin,Lyceum,Musical,84,415279
2013-11-24,A Night With Janis Joplin,Lyceum,Musical,65,359718
2013-12-01,A Night With Janis Joplin,Lyceum,Musical,55,317171
2013-12-08,A Night With Janis Joplin,Lyceum,Musical,73,393840
2013-12-15,A Night With Janis Joplin,Lyceum,Musical,69,373869
2013-12-22,A Night With Janis Joplin,Lyceum,Musical,58,291763
2013-12-29,A Night With Janis Joplin,Lyceum,Musical,74,444357
2014-01-05,A Night With Janis Joplin,Lyceum,Musical,62,369944
2014-01-12,A Night With Janis Joplin,Lyceum,Musical,61,331705
2014-01-19,A Night With Janis Joplin,Lyceum,Musical,69,339451
2014-01-26,A Night With Janis Joplin,Lyceum,Musical,63,314542
2014-02-02,A Night With Janis Joplin,Lyceum,Musical,48,231225
2014-02-09,A Night With Janis Joplin,Lyceum,Musical,74,342185
2014-02-16,Rocky,Winter Garden,Musical,85,373672
2014-02-23,Rocky,Winter Garden,Musical,88,642830
2014-03-02,Rocky,Winter Garden,Musical,74,551300
2014-03-09,Rocky,Winter Garden,Musical,78,635153
2014-03-16,Rocky,Winter Garden,Musical,83,639757
2014-03-16,The Realistic Joneses,Lyceum,Play,81,253222
2014-03-23,Rocky,Winter Garden,Musical,80,799879
2014-03-23,The Realistic Joneses,Lyceum,Play,81,433391
2014-03-30,Rocky,Winter Garden,Musical,76,828848
2014-03-30,The Realistic Joneses,Lyceum,Play,80,462236
2014-04-06,Rocky,Winter Garden,Musical,70,753365
2014-04-06,The Realistic Joneses,Lyceum,Play,87,410334
2014-04-13,Rocky,Winter Garden,Musical,72,754394
2014-04-13,The Realistic Joneses,Lyceum,Play,85,518159
2014-04-20,Rocky,Winter Garden,Musical,88,1022747
2014-04-20,The Realistic Joneses,Lyceum,Play,94,613441
2014-04-27,Rocky,Winter Garden,Musical,73,783892
2014-04-27,The Realistic Joneses,Lyceum,Play,93,619507
2014-05-04,Rocky,Winter Garden,Musical,66,707891
2014-05-04,The Realistic Joneses,Lyceum,Play,90,605288
2014-05-11,Rocky,Winter Garden,Musical,73,741927
2014-05-11,The Realistic Joneses,Lyceum,Play,87,569042
2014-05-18,Rocky,Winter Garden,Musical,75,742525
2014-05-18,The Realistic Joneses,Lyceum,Play,91,590378
2014-05-25,Rocky,Winter Garden,Musical,73,719407
2014-05-25,The Realistic Joneses,Lyceum,Play,91,574791
2014-06-01,Rocky,Winter Garden,Musical,63,652931
2014-06-01,The Realistic Joneses,Lyceum,Play,77,432608
2014-06-08,Rocky,Winter Garden,Musical,61,617990
2014-06-08,The Realistic Joneses,Lyceum,Play,70,417565
2014-06-15,Rocky,Winter Garden,Musical,71,761451
2014-06-15,The Realistic Joneses,Lyceum,Play,72,442302
2014-06-22,Rocky,Winter Garden,Musical,68,719363
2014-06-22,The Realistic Joneses,Lyceum,Play,75,419041
2014-06-29,Rocky,Winter Garden,Musical,68,711332
2014-06-29,The Realistic Joneses,Lyceum,Play,72,428156
2014-07-06,Rocky,Winter Garden,Musical,74,625635
2014-07-06,The Realistic Joneses,Lyceum,Play,83,420300
2014-07-13,Rocky,Winter Garden,Musical,63,626984
2014-07-20,Rocky,Winter Garden,Musical,69,674063
2014-07-27,Rocky,Winter Garden,Musical,77,701805
2014-08-03,Rocky,Winter Garden,Musical,84,767519
2014-08-10,Rocky,Winter Garden,Musical,85,795275
2014-08-17,Rocky,Winter Garden,Musical,85,870165
2014-09-28,Disgraced,Lyceum,Play,86,100824
2014-10-05,Disgraced,Lyceum,Play,73,292989
2014-10-12,Disgraced,Lyceum,Play,80,319485
2014-10-19,Disgraced,Lyceum,Play,82,352737
2014-10-26,Disgraced,Lyceum,Play,82,362147
2014-11-02,Disgraced,Lyceum,Play,75,408008
2014-11-09,Disgraced,Lyceum,Play,89,512646
2014-11-16,Disgraced,Lyceum,Play,76,471373
2014-11-23,Disgraced,Lyceum,Play,71,433598
2014-11-30,Disgraced,Lyceum,Play,68,412694
2014-12-07,Disgraced,Lyceum,Play,66,410321
2014-12-14,Disgraced,Lyceum,Play,66,415019
2014-12-21,Disgraced,Lyceum,Play,53,332589
2014-12-28,Disgraced,Lyceum,Play,65,393371
2015-01-04,Disgraced,Lyceum,Play,78,386752
2015-01-11,Disgraced,Lyceum,Play,70,382854
2015-01-18,Disgraced,Lyceum,Play,71,404998
2015-01-25,Disgraced,Lyceum,Play,67,360932
2015-02-01,Disgraced,Lyceum,Play,67,348413
2015-02-08,Disgraced,Lyceum,Play,63,333741
2015-02-15,Disgraced,Lyceum,Play,63,351175
2015-02-22,Disgraced,Lyceum,Play,62,333065
2015-03-01,Disgraced,Lyceum,Play,72,415237
2015-03-22,Wolf Hall Parts One & Two,Winter Garden,Play,76,419780
2015-03-29,The Visit 2015,Lyceum,Musical,80,167410
2015-03-29,Wolf Hall Parts One & Two,Winter Garden,Play,80,886920
2015-04-05,The Visit 2015,Lyceum,Musical,72,214803
2015-04-05,Wolf Hall Parts One & Two,Winter Garden,Play,73,689541
2015-04-12,The Visit 2015,Lyceum,Musical,72,224289
2015-04-12,Wolf Hall Parts One & Two,Winter Garden,Play,77,594758
2015-04-19,The Visit 2015,Lyceum,Musical,71,212750
2015-04-19,Wolf Hall Parts One & Two,Winter Garden,Play,69,860730
2015-04-26,The Visit 2015,Lyceum,Musical,73,180105
