FileName,Speaker,FinalSyll,Sex,Question,PitchMin,PitchMax,PitchRange,numPoints,Pt1Time,Pt2Time,Pt3Time,Pt4Time,Pt5Time,Pt6Time,Pt7Time,Pt8Time,Pt9Time,syllableStart.1,syllableEnd.1,syllableStart.2,syllableEnd.2,syllableStart.3,syllableEnd.3,syllableStart.4,syllableEnd.4,syllableStart.5,syllableEnd.5,syllableStart.6,syllableEnd.6,syllableStart.7,syllableEnd.7
CORRECTPAEnglish_026b_ExpAudio_B_05_AI_P26_1,P26,fall,M,Did Dave finish the repairs?,79.90003322,148.3301229,68.43008972,5,0.341217811,0.584490426,1.042703361,1.330153686,1.438453526,NA,NA,NA,NA,0.171241956,0.27495497,0.27495497,0.489471847,0.489471847,0.631722319,0.631722319,0.852297888,0.852297888,0.95495497,0.95495497,1.09495497,1.09495497,1.615468632
CORRECTPAEnglish_037a_ExpAudio_A_05_AI_P37_1,P37,neutral,M,Did Alice eat my muffin?,83.05551872,127.4998626,44.44434392,5,0.445916691,0.686188574,0.864578186,1.10166394,1.361657223,NA,NA,NA,NA,0.415704322,0.524948609,0.524948609,0.673080757,0.673080757,0.849301738,0.849301738,0.924948609,0.924948609,1.034288348,1.034288348,1.194948609,1.194948609,1.390782313
CORRECTPAEnglish_027a_ExpAudio_A_02_AI_P27_1,P27,rise,M,Did Nora finish breakfast?,101.1687271,534.2289065,433.0601794,6,0.317061804,0.484450625,0.629774467,0.751127366,0.981547552,1.430073813,NA,NA,NA,0.223806689,0.305040359,0.305040359,0.585040359,0.585040359,0.769358093,0.769358093,0.985170308,0.985170308,1.255040359,1.255040359,1.505040359,1.505040359,1.926849692
CORRECTPAEnglish_025a_ExpAudio_A_03_NAI_P25_1,P25,rise,F,Did Ralph wear his new jersey?,88.42328393,310.9274978,222.5042139,6,0.31646351,0.587433944,0.851287383,1.376744489,1.712293166,1.968820698,NA,NA,NA,0.281182003,0.415716225,0.415716225,0.837334358,0.837334358,0.971411377,0.971411377,1.16767741,1.16767741,1.381783991,1.381783991,1.708331841,1.708331841,1.958359034
CORRECTPAEnglish_005b_ExpAudio_B_01_NAI_P05_1,P05,neutral,M,Did Lara bring the hotdogs?,95.99051041,185.3310641,89.34055374,4,0.458042316,1.182074066,1.3859178110000001,1.69423778,NA,NA,NA,NA,NA,0.40777192,0.650971058,0.650971058,0.785636832,0.785636832,0.975177164,0.975177164,1.213328323,1.213328323,1.297854744,1.297854744,1.498561296,1.498561296,1.909891923
CORRECTPAEnglish_042a_ExpAudio_A_02_AI_P42_1,P42,fall,M,Did Nora finish breakfast?,86.97648044,146.6759211,59.6994407,6,0.551690006,1.000027815,1.109503951,1.290088861,1.536699515,1.606932195,NA,NA,NA,0.492533618,0.624987734,0.624987734,0.795205195,0.795205195,0.882945845,0.882945845,1.024987734,1.024987734,1.224987734,1.224987734,1.453971931,1.453971931,1.847847222
CORRECTPAEnglish_023a_ExpAudio_A_06_NAI_P23_1,P23,rise,F,Did Bill preheat the oven?,201.9932663,393.4388069,191.4455406,5,0.235023018,0.455471952,0.605004181,1.331806441,1.482541482,NA,NA,NA,NA,0.213295587,0.353019655,0.353019655,0.641977794,0.641977794,0.899719575,0.899719575,1.123468304,1.123468304,1.228593929,1.228593929,1.331546134,1.331546134,1.491762727
CORRECTPAEnglish_008a_ExpAudio_A_06_AI_P08_1,P08,rise,M,Did Marvin fix the tv?,87.84497825,597.9112149,510.0662366,5,0.469126836,0.573916075,0.901687066,1.712320982,2.088595771,NA,NA,NA,NA,0.431729025,0.576494785,0.576494785,0.818298223,0.818298223,0.968703704,0.968703704,1.341647571,1.341647571,1.457278404,1.457278404,1.712949106,1.712949106,2.154724112
CORRECTPAEnglish_015b_ExpAudio_B_04_NAI_P15_1,P15,rise,M,Did Sean finish his project?,75.9889368,202.4885396,126.4996028,3,0.600944737,1.322318981,1.588709385,NA,NA,NA,NA,NA,NA,0.326812504,0.42384763,0.42384763,0.74727109,0.74727109,0.866212209,0.866212209,1.017260417,1.017260417,1.175493869,1.175493869,1.453451763,1.453451763,1.726580632
CORRECTPAEnglish_029a_ExpAudio_A_03_NAI_P29_1,P29,fall,F,Did Ralph wear his new jersey?,84.96428163,373.6397968,288.6755152,6,0.243162472,0.530432204,0.760051102,1.355629531,1.510672727,1.842568623,NA,NA,NA,0.205778202,0.405637161,0.405637161,0.705114544,0.705114544,0.890994494,0.890994494,1.044154848,1.044154848,1.239644876,1.239644876,1.520073962,1.520073962,1.845516165
CORRECTPAEnglish_033a_ExpAudio_A_04_NAI_P33_1,P33,fall,F,Did Annie buy the berries?,85.96449753,301.5773224,215.6128249,7,0.347447404,0.437647291,0.648926307,0.754079368,1.043134714,1.252656967,1.405083763,NA,NA,0.313015044,0.444346561,0.444346561,0.555874219,0.555874219,0.729632443,0.729632443,0.899538618,0.899538618,0.995973616,0.995973616,1.137913519,1.137913519,1.558954544
CORRECTPAEnglish_028b_ExpAudio_B_02_AI_P28_1,P28,neutral,M,Did Martha break the swingset?,76.69934438,572.1452907,495.4459463,8,0.3347922,0.659132222,0.807401946,0.93482124,1.087724394,1.263794691,1.421331273,1.670880987,NA,0.25576512,0.344957668,0.344957668,0.577430013,0.577430013,0.724957668,0.724957668,1.024957668,1.024957668,1.120508561,1.120508561,1.444957668,1.444957668,1.753346831
CORRECTPAEnglish_018b_ExpAudio_B_04_NAI_P18_1,P18,neutral,F,Did Sean finish his project?,188.5971114,231.4303115,42.83320017,3,0.165372279,1.233357323,1.505190006,NA,NA,NA,NA,NA,NA,0.15453251,0.253373425,0.253373425,0.589377543,0.589377543,0.720787405,0.720787405,0.871521292,0.871521292,1.029487234,1.029487234,1.334389635,1.334389635,1.594141621
CORRECTPAEnglish_033a_ExpAudio_A_05_NAI_P33_1,P33,fall,F,Did Dave finish the repairs?,135.7869491,552.0113703,416.2244212,5,0.330077605,0.584990121,1.280584452,1.376361563,1.541680244,NA,NA,NA,NA,0.30864837,0.423831896,0.423831896,0.66497887,0.66497887,0.752282911,0.752282911,0.910432388,0.910432388,1.008885914,1.008885914,1.200034497,1.200034497,1.641991577
CORRECTPAEnglish_024b_ExpAudio_B_06_AI_P24_1,P24,fall,F,Did Bill preheat the oven?,129.115721,355.974811,226.8590901,5,0.38060205,0.85151029600000006,1.089310435,1.209704147,1.423640525,NA,NA,NA,NA,0.226661138,0.34674397,0.34674397,0.534982489,0.534982489,0.704982489,0.704982489,0.941294599,0.941294599,1.08056392,1.08056392,1.156338628,1.156338628,1.433337868
CORRECTPAEnglish_029a_ExpAudio_A_01_NAI_P29_1,P29,fall,F,Did Caleb wash the dishes?,76.5289357,338.9543693,262.4254336,7,0.263656844,0.507085084,0.648605115,0.790432246,1.239635229,1.430344505,1.517698331,NA,NA,0.22274543,0.337698814,0.337698814,0.570160828,0.570160828,0.763433437,0.763433437,1.047309901,1.047309901,1.181811227,1.181811227,1.306837994,1.306837994,1.696785211
CORRECTPAEnglish_022b_ExpAudio_B_02_NAI_P22_1,P22,fall,M,Did Nora finish breakfast?,75.35977166,557.1907813,481.8310096,6,0.196797782,0.435039252,0.574700463,1.05301091,1.166276773,1.314098322,NA,NA,NA,0.169865896,0.334985691,0.334985691,0.464590029,0.464590029,0.603537789,0.603537789,0.776082214,0.776082214,0.91040636,0.91040636,1.117618361,1.117618361,1.478612464
CORRECTPAEnglish_026b_ExpAudio_B_04_AI_P26_1,P26,fall,M,Did Annie buy the berries?,79.31814182,122.4312989,43.11315707,5,0.253964414,0.485923591,0.831314444,1.058643433,1.284070266,NA,NA,NA,NA,0.228624629,0.329701782,0.329701782,0.45986666,0.45986666,0.544972031,0.544972031,0.764972031,0.764972031,0.864972031,0.864972031,1.105271803,1.105271803,1.439515636
CORRECTPAEnglish_019a_ExpAudio_A_03_NAI_P19_1,P19,fall,F,Did Ralph wear his new jersey?,120.7350512,193.6625228,72.92747159,7,0.230398714,0.543335412,0.763679367,0.936229959,1.466560012,1.722418999,1.780542797,NA,NA,0.203262362,0.34164529,0.34164529,0.674399035,0.674399035,0.863435867,0.863435867,1.077296724,1.077296724,1.323634199,1.323634199,1.58554112,1.58554112,1.895356992
CORRECTPAEnglish_020b_ExpAudio_B_02_NAI_P20_1,P20,fall,F,Did Nora finish breakfast?,146.4659211,572.6085321,426.142611,8,0.227622886,0.39083762,0.574454195,0.851278288,0.94181146,1.183205204,1.26931867,1.479452109,NA,0.219508132,0.393669479,0.393669479,0.527815374,0.527815374,0.70797798,0.70797798,0.895273657,0.895273657,1.092656721,1.092656721,1.350937049,1.350937049,1.703929312
CORRECTPAEnglish_005b_ExpAudio_B_04_NAI_P05_1,P05,fall,M,Did Sean finish his project?,93.5586636,148.1303811,54.57171755,5,0.463433476,1.153038829,1.368692806,1.525430474,1.586413715,NA,NA,NA,NA,0.422386447,0.602183244,0.602183244,0.886661374,0.886661374,0.995464904,0.995464904,1.105841276,1.105841276,1.246048398,1.246048398,1.464387642,1.464387642,1.730192166
CORRECTPAEnglish_029a_ExpAudio_A_04_NAI_P29_1,P29,fall,F,Did Annie buy the berries?,74.96949056,526.390268,451.4207775,5,0.241582785,0.767438361,0.994882618,1.206678028,1.41370481,NA,NA,NA,NA,0.212367086,0.343425513,0.343425513,0.457840086,0.457840086,0.589068205,0.589068205,0.813043782,0.813043782,0.899153236,0.899153236,1.082628913,1.082628913,1.541060074
CORRECTPAEnglish_029a_ExpAudio_A_05_NAI_P29_1,P29,fall,F,Did Dave finish the repairs?,181.9687505,292.2297145,110.260964,6,0.25374769,0.434344965,0.670072281,1.296906739,1.426152108,1.536436471,NA,NA,NA,0.218202421,0.334984505,0.334984505,0.576931185,0.576931185,0.707267435,0.707267435,0.934756981,0.934756981,0.98466481,0.98466481,1.160150697,1.160150697,1.682738217
